datetime,geocity,temperature,amount,currency
2015-11-27T19:51:43Z,Berlin,2,30,USD
2014-11-04T16:35:34Z,Berlin,3,30,USD
2020-07-25T11:43:34Z,Berlin,5,56,IRR
2015-12-31T09:13:07Z,Parung,8,62,IDR
2019-11-11T21:27:30Z,Cemara,5,63,IDR
2018-11-01T15:46:10Z,Nizwá,8,75,OMR
2017-11-24T10:29:50Z,Kusatsu,8,47,JPY
2019-09-01T17:51:16Z,Talon,9,27,USD
2015-12-16T13:58:33Z,Krasnolesnyy,3,30,RUB
2020-10-15T03:36:33Z,Berlin,8,94,IDR
2021-06-16T08:18:07Z,Pyatigorsk,6,10,RUB
2018-01-08T10:05:55Z,Lunang,9,20,CNY
2016-10-15T05:27:16Z,San Jose,5,08,PHP
2020-12-28T14:03:43Z,Lerum,4,25,SEK
2017-05-12T18:13:05Z,Sosnytsya,5,45,UAH
2020-11-17T02:53:09Z,Tagoloan,6,89,PHP
2021-03-14T09:02:09Z,Kimil’tey,9,55,RUB
2020-06-23T05:35:55Z,Pengilon,9,69,IDR
2019-11-27T18:50:08Z,Créteil,8,21,EUR
2020-05-12T23:43:00Z,Malicboy,5,80,PHP
2018-02-17T13:02:45Z,Temblador,8,32,VEF
2018-01-23T19:23:49Z,Luoyang,1,39,CNY
2015-06-28T00:58:48Z,Ħamrun,4,03,EUR
2020-04-26T15:55:49Z,Tomohon,7,89,IDR
2019-09-07T10:22:03Z,Novocherkassk,8,97,RUB
2019-06-08T11:49:37Z,Övertorneå,7,12,SEK
2017-03-09T19:33:15Z,Santa María de Ipire,3,87,VEF
2019-04-10T07:19:43Z,Meijiang,2,63,CNY
2016-06-23T12:50:00Z,Łyse,1,57,PLN
2020-02-22T12:04:46Z,Arranhó,7,46,EUR
2020-03-09T19:10:16Z,Shangfang,7,44,CNY
2018-10-12T04:55:33Z,Orange,1,00,EUR
2020-03-12T00:35:49Z,Norfolk,0,66,USD
2017-01-27T22:30:47Z,Keffi,9,51,NGN
2015-04-15T21:10:50Z,Zhanlong,5,82,CNY
2017-08-22T05:21:04Z,Pangian,8,79,PHP
2017-12-13T09:58:07Z,Querocotillo,1,01,PEN
2016-10-08T15:32:00Z,Guamal,8,55,COP
2016-08-14T12:08:11Z,Vaitape,4,90,XPF
2020-08-13T20:13:03Z,Acopampa,8,64,PEN
2021-01-18T13:33:06Z,Shahe,2,75,CNY
2020-08-06T16:05:29Z,San Lucas,5,27,PHP
2020-03-07T22:52:15Z,Vila Nova de Gaia,9,99,EUR
2019-09-11T10:27:29Z,Clones,1,86,EUR
2018-10-27T14:39:09Z,Bantarpanjang,6,58,IDR
2020-11-03T01:13:30Z,Mentoro Wetan,5,04,IDR
2019-06-14T06:22:42Z,Ardino,5,52,BGN
2015-05-17T20:37:51Z,Ballinroad,3,19,EUR
2015-07-01T21:32:16Z,Buqei‘a,2,60,ILS
2020-07-11T20:51:31Z,Donglu,2,33,CNY
2016-04-09T19:01:13Z,De la Paz,5,15,PHP
2016-04-12T14:47:32Z,Lagoa Vermelha,5,12,BRL
2016-09-26T05:14:48Z,Palmas,2,89,BRL
2017-06-14T13:17:51Z,Kario,1,19,PKR
2020-05-29T15:36:41Z,Ngã Bảy,6,05,VND
2019-10-31T06:02:09Z,Zuyevka,4,35,RUB
2016-02-07T23:02:45Z,Loúros,1,64,EUR
2020-08-16T23:15:37Z,Maseru,0,26,LSL
2016-05-09T10:18:31Z,Balitai,7,07,CNY
2015-06-29T22:09:15Z,Necoclí,2,18,COP
2015-12-05T05:16:02Z,Tagum,2,43,PHP
2017-09-09T05:57:12Z,Cibatuireng,1,82,IDR
2020-05-21T18:16:34Z,Rawa Mazowiecka,4,51,PLN
2015-02-12T06:25:28Z,San Rafael,3,51,CRC
2015-10-07T11:24:58Z,Petrovice u Karviné,7,11,CZK
2017-04-18T11:43:13Z,Embu,8,59,KES
2015-12-18T08:34:37Z,Machetá,7,23,COP
2015-04-27T14:24:39Z,Jiaojie,0,21,CNY
2014-11-07T19:21:57Z,Motala,3,09,SEK
2018-12-17T13:39:22Z,Kristiansand S,8,07,NOK
2016-02-18T10:50:21Z,Heidelberg,0,09,ZAR
2018-11-02T01:24:49Z,Xiaolukou,8,36,CNY
2020-03-29T13:55:08Z,Campos Gerais,6,89,BRL
2018-06-20T05:39:33Z,Sabana Iglesia,7,83,DOP
2016-01-22T05:02:54Z,Al ‘Azīzīyah,9,78,IQD
2016-10-29T04:25:45Z,Ongkharak,3,17,THB
2016-04-17T03:13:54Z,Thị Trấn Hát Lót,9,00,VND
2016-01-09T14:32:28Z,Tuplice,4,74,PLN
2014-09-27T13:53:18Z,Shishi,6,74,CNY
2017-01-06T17:20:45Z,Hongyan,5,65,CNY
2015-09-08T11:21:52Z,Toulouse,3,70,EUR
2019-12-01T19:23:52Z,Kekeri,0,33,IDR
2017-03-30T23:22:37Z,Cimo de Vila,9,24,EUR
